AA,2,1,,FOREST,,,,,
AB,2,1,,FOREST,,,,,
AC,2,1,,FOREST,,,,,
AD,5,1,,MARSH,,,,,
AE,5,1,,MARSH,,,,,
AF,2,1,,FOREST,,,,,
AG,2,1,,FOREST,,,,,
AH,7,2,T,WATER,,,,,
DI,7,2,T,WATER,,,,,,
DJ,7,2,T,WATER,,,,,,
DK,1,2,,PLAINS,,,,,,
DL,1,2,,PLAINS,,,,,,
DM,5,2,,MARSH,,,,,,
DN,5,2,,MARSH,,,,,,
DO,7,2,T,WATER,,,,,,
DP,7,2,T,WATER,,,,,,
DQ,2,2,,FOREST,,,,,,
DR,1,2,,PLAINS,,,,,,
DS,4,3,,DESERT,,,,,,
DT,3,3,,MOUNTAINS,,,,,,
DU,3,3,,MOUNTAINS,,,,,,
DV,5,3,,MARSH,,,,,,
DW,3,3,,MOUNTAINS,,,,,,
DX,3,3,,MOUNTAINS,,,,,,
DY,1,3,,PLAINS,,,,,,
DZ,4,3,,DESERT,,,,,,
EA,7,1,M,WATER,,,,,,
EB,5,1,,MARSH,,,,,,
EC,2,1,,FOREST,,,,,,
ED,2,1,,FOREST,,,,,,
EE,2,1,,FOREST,,,,,,
EF,2,1,,FOREST,,,,,,
EG,1,1,,PLAINS,,,,,,
EH,1,1,,PLAINS,,,,,,
EI,7,2,T,WATER,,,,,,
EJ,7,2,T,WATER,,,,,,
EK,7,2,T,WATER,,,,,,
EL,7,2,T,WATER,,,,,,
EM,7,2,T,WATER,,,,,,
EN,7,2,T,WATER,,,,,,
EO,7,2,T,WATER,,,,,,
EP,7,2,T,WATER,,,,,,
EQ,2,2,,FOREST,,,,,,
ER,1,2,,PLAINS,,,,,,
ES,4,3,,DESERT,,,,,,
ET,3,3,,MOUNTAINS,,,,,,
EU,3,3,,MOUNTAINS,,,,,,
EV,3,3,,MOUNTAINS,,,,,,
EW,3,3,,MOUNTAINS,,,,,,
EX,1,3,,PLAINS,,,,,,
EY,1,3,,PLAINS,,,,,,
EZ,4,3,,DESERT,,,,,,
FA,7,1,M,WATER,,,,,,
FB,5,1,,MARSH,,,,,,
FC,5,1,,MARSH,,,,,,
FD,1,1,,PLAINS,,,,,,
FE,1,1,,PLAINS,,,,,,
FF,1,1,,PLAINS,,,,,,
FG,1,1,,PLAINS,,,,,,
FH,1,1,,PLAINS,,,,,,
FI,5,2,,MARSH,,,,,,
FJ,5,2,,MARSH,,,,,,
FK,2,2,,FOREST,,,,,,
FL,2,2,,FOREST,,,,,,
FM,2,2,,FOREST,,,,,,
FN,1,2,,PLAINS,,,,,,
FO,7,2,T,WATER,,,,,,
FP,7,2,T,WATER,,,,,,
FQ,1,2,,PLAINS,,,,,,
FR,1,2,,PLAINS,,,,,,
FS,1,3,,PLAINS,,,,,,
FT,1,3,,PLAINS,,,,,,
FU,3,3,,MOUNTAINS,,,,,,
FV,3,3,,MOUNTAINS,,,,,,
FW,1,3,,PLAINS,,,,,,
FX,1,3,,PLAINS,,,,,,
FY,4,3,,DESERT,,,,,,
FZ,4,3,,DESERT,,,,,,
GA,7,1,M,WATER,,,,,,
GB,5,1,,MARSH,,,,,,
GC,1,1,,PLAINS,,,,,,
GD,1,1,,PLAINS,,,,,,
GE,2,1,,FOREST,,,,,,
GF,2,1,,FOREST,,,,,,
GG,2,1,,FOREST,,,,,,
GH,2,1,,FOREST,,,,,,
GI,1,5,,PLAINS,,,,,,
GJ,1,5,,PLAINS,,,,,,
GK,1,5,,PLAINS,,,,,,
GL,1,5,,PLAINS,,,,,,
GM,2,2,,FOREST,,,,,,
GN,1,2,,PLAINS,,,,,,
GO,1,2,,PLAINS,,,,,,
GP,1,2,,PLAINS,,,,,,
GQ,1,2,,PLAINS,,,,,,
GR,1,6,,PLAINS,,,,,,
GS,1,3,,PLAINS,,,,,,
GT,1,3,,PLAINS,,,,,,
GU,1,3,,PLAINS,,,,,,
GV,1,3,,PLAINS,,,,,,
GW,1,3,,PLAINS,,,,,,
GX,1,3,,PLAINS,,,,,,
GY,1,3,,PLAINS,,,,,,
GZ,4,3,,DESERT,,,,,,
HA,7,1,M,WATER,,,,,,
HB,7,1,M,WATER,,,,,,
HC,1,1,,PLAINS,,,,,,
HD,1,1,,PLAINS,,,,,,
HE,2,1,,FOREST,,,,,,
HF,2,1,,FOREST,,,,,,
HG,2,1,,FOREST,,,,,,
HH,1,5,,PLAINS,,,,,,
HI,1,5,,PLAINS,,,,,,
HJ,1,5,,PLAINS,,,,,,
HK,1,5,,PLAINS,,,,,,
HL,1,5,,PLAINS,,,,,,
HM,1,5,,PLAINS,,,,,,
HN,1,5,,PLAINS,,,,,,
HO,1,5,,PLAINS,,,,,,
HP,3,5,,MOUNTAINS,,,,,,
HQ,1,6,,PLAINS,,,,,,
HR,1,6,,PLAINS,,,,,,
HS,2,6,,FOREST,,,,,,
HT,2,6,,FOREST,,,,,,
HU,1,6,,PLAINS,,,,,,
HV,1,6,,PLAINS,,,,,,
HW,1,6,,PLAINS,,,,,,
HX,1,6,,PLAINS,,,,,,
HY,3,3,,MOUNTAINS,,,,,,
HZ,3,3,,MOUNTAINS,,,,,,
IA,7,1,M,WATER,,,,,,
IB,1,1,,PLAINS,,,,,,
IC,1,1,,PLAINS,,,,,,
ID,3,4,,MOUNTAINS,,,,,,
IE,1,4,,PLAINS,,,,,,
IF,1,4,,PLAINS,,,,,,
IG,1,4,,PLAINS,,,,,,
IH,1,5,,PLAINS,,,,,,
II,1,5,,PLAINS,,,,,,
IJ,1,5,,PLAINS,,,,,,
IK,1,5,,PLAINS,,,,,,
IL,1,5,,PLAINS,,,,,,
IM,1,5,,PLAINS,,,,,,
IN,1,5,,PLAINS,,,,,,
IO,1,5,,PLAINS,,,,,,
IP,3,5,,MOUNTAINS,,,,,,
IQ,1,6,,PLAINS,,,,,,
IR,1,6,,PLAINS,,,,,,
IS,2,6,,FOREST,,,,,,
IT,2,6,,FOREST,,,,,,
IU,2,6,,FOREST,,,,,,
IV,2,6,,FOREST,,,,,,
IW,1,6,,PLAINS,,,,,,
IX,1,6,,PLAINS,,,,,,
IY,1,6,,PLAINS,,,,,,
IZ,3,3,,MOUNTAINS,,,,,,
JA,7,1,M,WATER,,,,,,
JB,3,4,,MOUNTAINS,,,,,,
JC,3,4,,MOUNTAINS,,,,,,
JD,3,4,,MOUNTAINS,,,,,,
JE,1,4,,PLAINS,,,,,,
JF,1,4,,PLAINS,,,,,,
JG,1,4,,PLAINS,,,,,,
JH,4,5,,DESERT,,,,,,
JI,1,5,,PLAINS,,,,,,
JJ,3,5,,MOUNTAINS,,,,,,
JK,3,5,,MOUNTAINS,,,,,,
JL,3,5,,MOUNTAINS,,,,,,
JM,1,5,,PLAINS,,,,,,
JN,1,5,,PLAINS,,,,,,
JO,1,5,,PLAINS,,,,,,
JP,3,5,,MOUNTAINS,,,,,,
JQ,4,6,,DESERT,,,,,,
JR,1,6,,PLAINS,,,,,,
JS,1,6,,PLAINS,,,,,,
JT,1,6,,PLAINS,,,,,,
JU,2,6,,FOREST,,,,,,
JV,2,6,,FOREST,,,,,,
JW,7,6,D,WATER,,,,,,
JX,7,6,D,WATER,,,,,,
JY,1,6,,PLAINS,,,,,,
JZ,3,3,,MOUNTAINS,,,,,,
KA,7,4,M,WATER,,,,,,
KB,7,4,M,WATER,,,,,,
KC,1,4,,PLAINS,,,,,,
KD,1,4,,PLAINS,,,,,,
KE,1,4,,PLAINS,,,,,,
KF,3,4,,MOUNTAINS,,,,,,
KG,3,4,,MOUNTAINS,,,,,,
KH,4,5,,DESERT,,,,,,
KI,4,5,,DESERT,,,,,,
KJ,1,5,,PLAINS,,,,,,
KK,3,5,,MOUNTAINS,,,,,,
KL,3,5,,MOUNTAINS,,,,,,
KM,1,5,,PLAINS,,,,,,
KN,3,5,,MOUNTAINS,,,,,,
KO,3,5,,MOUNTAINS,,,,,,
KP,3,5,,MOUNTAINS,,,,,,
KQ,4,6,,DESERT,,,,,,
KR,1,6,,PLAINS,,,,,,
KS,1,6,,PLAINS,,,,,,
KT,5,6,,MARSH,,,,,,
KU,5,6,,MARSH,,,,,,
KV,5,6,,MARSH,,,,,,
KW,7,6,D,WATER,,,,,,
KX,7,6,D,WATER,,,,,,
KY,1,6,,PLAINS,,,,,,
KZ,3,3,,MOUNTAINS,,,,,,
LA,1,4,,PLAINS,,,,,,
LB,7,4,M,WATER,,,,,,
LC,7,4,M,WATER,,,,,,
LD,2,4,,FOREST,,,,,,
LE,1,4,,PLAINS,,,,,,
LF,3,4,,MOUNTAINS,,,,,,
LG,1,4,,PLAINS,,,,,,
LH,4,5,,DESERT,,,,,,
LI,1,5,,PLAINS,,,,,,
LJ,1,5,,PLAINS,,,,,,
LK,7,5,F,WATER,,,,,,
LL,7,5,F,WATER,,,,,,
LM,1,5,,PLAINS,,,,,,
LN,1,5,,PLAINS,,,,,,
LO,2,5,,FOREST,,,,,,
LP,1,6,,PLAINS,,,,,,
LQ,1,6,,PLAINS,,,,,,
LR,1,6,,PLAINS,,,,,,
LS,1,6,,PLAINS,,,,,,
LT,5,6,,MARSH,,,,,,
LU,5,6,,MARSH,,,,,,
LV,7,6,D,WATER,,,,,,
LW,7,6,D,WATER,,,,,,
LX,2,6,,FOREST,,,,,,
LY,2,6,,FOREST,,,,,,
LZ,1,6,,PLAINS,,,,,,
MA,7,4,M,WATER,,,,,,
MB,7,4,M,WATER,,,,,,
MC,7,4,M,WATER,,,,,,
MD,2,4,,FOREST,,,,,,
ME,2,4,,FOREST,,,,,,
MF,1,4,,PLAINS,,,,,,
MG,1,4,,PLAINS,,,,,,
MH,1,5,,PLAINS,,,,,,
MI,1,5,,PLAINS,,,,,,
MJ,7,5,F,WATER,,,,,,
MK,7,5,F,WATER,,,,,,
ML,7,5,F,WATER,,,,,,
MM,7,5,F,WATER,,,,,,
MN,1,5,,PLAINS,,,,,,
MO,2,8,,FOREST,,,,,,
MP,2,8,,FOREST,,,,,,
MQ,1,6,,PLAINS,,,,,,
MR,7,6,D,WATER,,,,,,
MS,7,6,D,WATER,,,,,,
MT,7,6,D,WATER,,,,,,
MU,7,6,D,WATER,,,,,,
MV,7,6,D,WATER,,,,,,
MW,7,6,D,WATER,,,,,,
MX,2,6,,FOREST,,,,,,
MY,2,6,,FOREST,,,,,,
MZ,1,6,,PLAINS,,,,,,
NA,7,4,M,WATER,,,,,,
NB,1,4,,PLAINS,,,,,,
NC,1,4,,PLAINS,,,,,,
ND,2,4,,FOREST,,,,,,
NE,2,4,,FOREST,,,,,,
NF,2,4,,FOREST,,,,,,
NG,1,4,,PLAINS,,,,,,
NH,1,5,,PLAINS,,,,,,
NI,7,5,F,WATER,,,,,,
NJ,7,5,F,WATER,,,,,,
NK,1,5,,PLAINS,,,,,,
NL,7,5,F,WATER,,,,,,
NM,1,5,,PLAINS,,,,,,
NN,3,5,,MOUNTAINS,,,,,,
NO,2,8,,FOREST,,,,,,
NP,2,8,,FOREST,,,,,,
NQ,1,6,,PLAINS,,,,,,
NR,7,6,D,WATER,,,,,,
NS,1,9,,PLAINS,,,,,,
NT,7,9,D,WATER,,,,,,
NU,1,9,,PLAINS,,,,,,
NV,2,9,,FOREST,,,,,,
NW,2,9,,FOREST,,,,,,
NX,2,9,,FOREST,,,,,,
NY,1,9,,PLAINS,,,,,,
NZ,1,9,,PLAINS,,,,,,
OA,7,4,M,WATER,,,,,,
OB,1,4,,PLAINS,,,,,,
OC,1,4,,PLAINS,,,,,,
OD,2,4,,FOREST,,,,,,
OE,2,4,,FOREST,,,,,,
OF,1,4,,PLAINS,,,,,,
OG,1,4,,PLAINS,,,,,,
OH,1,4,,PLAINS,,,,,,
OI,7,4,F,WATER,,,,,,
OJ,1,5,,PLAINS,,,,,,
OK,3,5,,MOUNTAINS,,,,,,
OL,7,5,F,WATER,,,,,,
OM,1,5,,PLAINS,,,,,,
ON,2,8,,FOREST,,,,,,
OO,2,8,,FOREST,,,,,,
OP,2,8,,FOREST,,,,,,
OQ,1,6,,PLAINS,,,,,,
OR,7,6,D,WATER,,,,,,
OS,7,9,D,WATER,,,,,,
OT,7,9,D,WATER,,,,,,
OU,1,9,,PLAINS,,,,,,
OV,2,9,,FOREST,,,,,,
OW,3,9,,MOUNTAINS,,,,,,
OX,3,9,,MOUNTAINS,,,,,,
OY,1,9,,PLAINS,,,,,,
OZ,1,9,,PLAINS,,,,,,
PA,7,4,M,WATER,,,,,,
PB,1,4,,PLAINS,,,,,,
PC,1,4,,PLAINS,,,,,,
PD,1,4,,PLAINS,,,,,,
PE,2,4,,FOREST,,,,,,
PF,1,4,,PLAINS,,,,,,
PG,1,4,,PLAINS,,,,,,
PH,1,4,,PLAINS,,,,,,
PI,7,4,F,WATER,,,,,,
PJ,7,5,F,WATER,,,,,,
PK,7,5,F,WATER,,,,,,
PL,7,5,F,WATER,,,,,,
PM,1,8,,PLAINS,,,,,,
PN,1,8,,PLAINS,,,,,,
PO,2,8,,FOREST,,,,,,
PP,1,8,,PLAINS,,,,,,
PQ,1,8,,PLAINS,,,,,,
PR,1,6,,PLAINS,,,,,,
PS,7,9,D,WATER,,,,,,
PT,7,9,D,WATER,,,,,,
PU,7,9,D,WATER,,,,,,
PV,2,9,,FOREST,,,,,,
PW,1,9,,PLAINS,,,,,,
PX,1,9,,PLAINS,,,,,,
PY,1,9,,PLAINS,,,,,,
PZ,1,9,,PLAINS,,,,,,
QA,7,4,M,WATER,,,,,,
QB,1,4,,PLAINS,,,,,,
QC,1,4,,PLAINS,,,,,,
QD,1,4,,PLAINS,,,,,,
QE,1,4,,PLAINS,,,,,,
QF,1,4,,PLAINS,,,,,,
QG,5,8,,MARSH,,,,,,
QH,5,8,,MARSH,,,,,,
QI,7,8,F,WATER,,,,,,
QJ,7,8,F,WATER,,,,,,
QK,7,8,F,WATER,,,,,,
QL,5,8,,MARSH,,,,,,
QM,5,8,,MARSH,,,,,,
QN,1,8,,PLAINS,,,,,,
QO,1,8,,PLAINS,,,,,,
QP,1,8,,PLAINS,,,,,,
QQ,1,8,,PLAINS,,,,,,
QR,1,6,,PLAINS,,,,,,
QS,7,9,D,WATER,,,,,,
QT,1,9,,PLAINS,,,,,,
QU,7,9,D,WATER,,,,,,
QV,1,9,,PLAINS,,,,,,
QW,1,9,,PLAINS,,,,,,
QX,5,9,,MARSH,,,,,,
QY,5,9,,MARSH,,,,,,
QZ,5,9,,MARSH,,,,,,
RA,7,4,M,WATER,,,,,,
RB,7,4,M,WATER,,,,,,
RC,1,4,,PLAINS,,,,,,
RD,1,4,,PLAINS,,,,,,
RE,1,4,,PLAINS,,,,,,
RF,1,4,,PLAINS,,,,,,
RG,1,8,,PLAINS,,,,,,
RH,1,8,,PLAINS,,,,,,
RI,5,8,,MARSH,,,,,,
RJ,1,8,,PLAINS,,,,,,
RK,1,8,,PLAINS,,,,,,
RL,1,8,,PLAINS,,,,,,
RM,1,8,,PLAINS,,,,,,
RN,1,8,,PLAINS,,,,,,
RO,3,8,,MOUNTAINS,,,,,,
RP,1,8,,PLAINS,,,,,,
RQ,1,8,,PLAINS,,,,,,
RR,1,6,,PLAINS,,,,,,
RS,7,9,D,WATER,,,,,,
RT,7,9,D,WATER,,,,,,
RU,7,9,D,WATER,,,,,,
RV,1,9,,PLAINS,,,,,,
RW,1,9,,PLAINS,,,,,,
RX,1,9,,PLAINS,,,,,,
RY,5,9,,MARSH,,,,,,
RZ,5,9,,MARSH,,,,,,
SA,1,4,,PLAINS,,,,,,
SB,7,4,M,WATER,,,,,,
SC,1,4,,PLAINS,,,,,,
SD,1,4,,PLAINS,,,,,,
SE,1,4,,PLAINS,,,,,,
SF,4,7,,DESERT,,,,,,
SG,4,7,,DESERT,,,,,,
SH,1,8,,PLAINS,,,,,,
SI,1,8,,PLAINS,,,,,,
SJ,1,8,,PLAINS,,,,,,
SK,1,8,,PLAINS,,,,,,
SL,2,8,,FOREST,,,,,,
SM,1,8,,PLAINS,,,,,,
SN,1,8,,PLAINS,,,,,,
SO,3,8,,MOUNTAINS,,,,,,
SP,1,8,,PLAINS,,,,,,
SQ,1,8,,PLAINS,,,,,,
SR,2,9,,FOREST,,,,,,
SS,2,9,,FOREST,,,,,,
ST,7,9,D,WATER,,,,,,
SU,1,9,,PLAINS,,,,,,
SV,1,9,,PLAINS,,,,,,
SW,1,9,,PLAINS,,,,,,
SX,5,9,,MARSH,,,,,,
SY,5,9,,MARSH,,,,,,
SZ,5,9,,MARSH,,,,,,
TA,7,4,M,WATER,,,,,,
TB,7,7,M,WATER,,,,,,
TC,1,7,,PLAINS,,,,,,
TD,1,7,,PLAINS,,,,,,
TE,3,7,,MOUNTAINS,,,,,,
TF,3,7,,MOUNTAINS,,,,,,
TG,3,7,,MOUNTAINS,,,,,,
TH,3,7,,MOUNTAINS,,,,,,
TI,1,8,,PLAINS,,,,,,
TJ,1,8,,PLAINS,,,,,,
TK,1,8,,PLAINS,,,,,,
TL,2,8,,FOREST,,,,,,
TM,2,8,,FOREST,,,,,,
TN,1,8,,PLAINS,,,,,,
TO,1,8,,PLAINS,,,,,,
TP,1,8,,PLAINS,,,,,,
TQ,1,8,,PLAINS,,,,,,
TR,2,9,,FOREST,,,,,,
TS,1,9,,PLAINS,,,,,,
TT,1,9,,PLAINS,,,,,,
TU,1,9,,PLAINS,,,,,,
TV,1,9,,PLAINS,,,,,,
TW,1,9,,PLAINS,,,,,,
TX,1,9,,PLAINS,,,,,,
TY,5,9,,MARSH,,,,,,
TZ,5,9,,MARSH,,,,,,
UA,7,7,M,WATER,,,,,,
UB,2,7,,FOREST,,,,,,
UC,2,7,,FOREST,,,,,,
UD,2,7,,FOREST,,,,,,
UE,1,7,,PLAINS,,,,,,
UF,1,7,,PLAINS,,,,,,
UG,1,7,,PLAINS,,,,,,
UH,1,7,,PLAINS,,,,,,
UI,1,8,,PLAINS,,,,,,
UJ,1,8,,PLAINS,,,,,,
UK,1,8,,PLAINS,,,,,,
UL,1,8,,PLAINS,,,,,,
UM,1,8,,PLAINS,,,,,,
UN,2,8,,FOREST,,,,,,
UO,1,8,,PLAINS,,,,,,
UP,1,8,,PLAINS,,,,,,
UQ,1,8,,PLAINS,,,,,,
UR,1,8,,PLAINS,,,,,,
US,1,8,,PLAINS,,,,,,
UT,3,10,,MOUNTAINS,,,,,,
UU,1,9,,PLAINS,,,,,,
UV,1,9,,PLAINS,,,,,,
UW,1,9,,PLAINS,,,,,,
UX,1,9,,PLAINS,,,,,,
UY,2,9,,FOREST,,,,,,
UZ,2,9,,FOREST,,,,,,
VA,7,7,M,WATER,,,,,,
VB,2,7,,FOREST,,,,,,
VC,2,7,,FOREST,,,,,,
VD,2,7,,FOREST,,,,,,
VE,2,7,,FOREST,,,,,,
VF,1,7,,PLAINS,,,,,,
VG,1,7,,PLAINS,,,,,,
VH,1,7,,PLAINS,,,,,,
VI,1,7,,PLAINS,,,,,,
VJ,1,8,,PLAINS,,,,,,
VK,3,8,,MOUNTAINS,,,,,,
VL,1,8,,PLAINS,,,,,,
VM,1,8,,PLAINS,,,,,,
VN,1,8,,PLAINS,,,,,,
VO,1,8,,PLAINS,,,,,,
VP,1,8,,PLAINS,,,,,,
VQ,1,8,,PLAINS,,,,,,
VR,3,10,,MOUNTAINS,,,,,,
VS,3,10,,MOUNTAINS,,,,,,
VT,3,10,,MOUNTAINS,,,,,,
VU,3,10,,MOUNTAINS,,,,,,
VV,3,10,,MOUNTAINS,,,,,,
VW,1,10,,PLAINS,,,,,,
VX,1,10,,PLAINS,,,,,,
VY,1,10,,PLAINS,,,,,,
VZ,1,10,,PLAINS,,,,,,
WA,7,7,M,WATER,,,,,,
WB,7,7,M,WATER,,,,,,
WC,5,7,,MARSH,,,,,,
WD,1,7,,PLAINS,,,,,,
WE,1,7,,PLAINS,,,,,,
WF,1,7,,PLAINS,,,,,,
WG,1,7,,PLAINS,,,,,,
WH,1,7,,PLAINS,,,,,,
WI,1,7,,PLAINS,,,,,,
WJ,1,7,,PLAINS,,,,,,
WK,3,8,,MOUNTAINS,,,,,,
WL,3,8,,MOUNTAINS,,,,,,
WM,3,8,,MOUNTAINS,,,,,,
WN,4,10,,DESERT,,,,,,
WO,1,10,,PLAINS,,,,,,
WP,1,10,,PLAINS,,,,,,
WQ,1,10,,PLAINS,,,,,,
WR,3,10,,MOUNTAINS,,,,,,
WS,1,10,,PLAINS,,,,,,
WT,2,10,,FOREST,,,,,,
WU,1,10,,PLAINS,,,,,,
WV,1,10,,PLAINS,,,,,,
WW,1,10,,PLAINS,,,,,,
WX,1,10,,PLAINS,,,,,,
WY,1,10,,PLAINS,,,,,,
WZ,1,10,,PLAINS,,,,,,
XA,5,7,,MARSH,,,,,,
XB,5,7,,MARSH,,,,,,
XC,5,7,,MARSH,,,,,,
XD,1,7,,PLAINS,,,,,,
XE,3,7,,MOUNTAINS,,,,,,
XF,1,7,,PLAINS,,,,,,
XG,1,7,,PLAINS,,,,,,
XH,1,7,,PLAINS,,,,,,
XI,1,7,,PLAINS,,,,,,
XJ,4,7,,DESERT,,,,,,
XK,3,8,,MOUNTAINS,,,,,,
XL,3,8,,MOUNTAINS,,,,,,
XM,4,10,,DESERT,,,,,,
XN,4,10,,DESERT,,,,,,
XO,1,10,,PLAINS,,,,,,
XP,1,10,,PLAINS,,,,,,
XQ,1,10,,PLAINS,,,,,,
XR,4,10,,DESERT,,,,,,
XS,1,10,,PLAINS,,,,,,
XT,1,10,,PLAINS,,,,,,
XU,1,10,,PLAINS,,,,,,
XV,1,10,,PLAINS,,,,,,
XW,4,10,,DESERT,,,,,,
XX,4,10,,DESERT,,,,,,
XY,3,10,,MOUNTAINS,,,,,,
XZ,3,10,,MOUNTAINS,,,,,,
YA,3,7,,MOUNTAINS,,,,,,
YB,3,7,,MOUNTAINS,,,,,,
YC,3,7,,MOUNTAINS,,,,,,
YD,3,7,,MOUNTAINS,,,,,,
YE,3,7,,MOUNTAINS,,,,,,
YF,1,7,,PLAINS,,,,,,
YG,3,7,,MOUNTAINS,,,,,,
YH,4,7,,DESERT,,,,,,
YI,4,7,,DESERT,,,,,,
YJ,4,7,,DESERT,,,,,,
YK,1,7,,PLAINS,,,,,,
YL,1,10,,PLAINS,,,,,,
YM,1,10,,PLAINS,,,,,,
YN,1,10,,PLAINS,,,,,,
YO,1,10,,PLAINS,,,,,,
YP,4,10,,DESERT,,,,,,
YQ,4,10,,DESERT,,,,,,
YR,4,10,,DESERT,,,,,,
YS,1,10,,PLAINS,,,,,,
YT,1,10,,PLAINS,,,,,,
YU,4,10,,DESERT,,,,,,
YV,4,10,,DESERT,,,,,,
YW,4,10,,DESERT,,,,,,
YX,4,10,,DESERT,,,,,,
YY,4,10,,DESERT,,,,,,
YZ,3,10,,MOUNTAINS,,,,,,
ZA,3,7,,MOUNTAINS,,,,,,
ZB,3,7,,MOUNTAINS,,,,,,
ZC,3,7,,MOUNTAINS,,,,,,
ZD,3,7,,MOUNTAINS,,,,,,
ZE,3,7,,MOUNTAINS,,,,,,
ZF,3,7,,MOUNTAINS,,,,,,
ZG,3,7,,MOUNTAINS,,,,,,
ZH,3,7,,MOUNTAINS,,,,,,
ZI,4,7,,DESERT,,,,,,
ZJ,4,7,,DESERT,,,,,,
ZK,1,7,,PLAINS,,,,,,
ZL,1,10,,PLAINS,,,,,,
ZM,1,10,,PLAINS,,,,,,
ZN,1,10,,PLAINS,,,,,,
ZO,1,10,,PLAINS,,,,,,
ZP,4,10,,DESERT,,,,,,
ZQ,4,10,,DESERT,,,,,,
ZR,4,10,,DESERT,,,,,,
ZS,1,10,,PLAINS,,,,,,
ZT,1,10,,PLAINS,,,,,,
ZU,1,10,,PLAINS,,,,,,
ZV,4,10,,DESERT,,,,,,
ZW,4,10,,DESERT,,,,,,
ZX,4,10,,DESERT,,,,,,
ZY,4,10,,DESERT,,,,,,
ZZ,4,10,,DESERT,,,,,,
